来自资产处,,,,,,,,,,,,来自档案馆,,,,来自基建处,,,汇总结论,
,房屋,所属楼层,房号,名称,房间用途,使用部门,使用人,"建筑面积
(㎡)","使用面积
(㎡)","实际使用人
数(人)",备注,楼栋,"规划许可证
功能用途",竣工验收报告功能属性,消防合格书功能认定,"施工图
消防定性",,,"是否为稀缺性
功能空间",
,蒙民伟楼(科技二期科技馆、科技大楼南楼),1层,101,101,其他教室及辅助用房,南京大学物业公用,,72.65,40.00,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),1层,102,102,其他教室及辅助用房,南京大学物业公用,,100.72,55.45,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),1层,103-104,103-104,普通教室,电子科学与工程学院,,287.89,158.50,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),1层,105,105,普通教室,空置用房,,66.83,36.80,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),1层,106,106,普通教室,高性能计算中心,,106.08,58.40,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),1层,107,107,普通教室,高性能计算中心,,66.83,36.80,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),1层,108-111,108-111,普通教室,高性能计算中心,,434.28,239.10,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),2层,201-202,蒙楼201-202,专用科研用房,数学学院,"谢兆茹,耿建生,王奕倩,赵秋兰,张志朋,彭洪伟",445.17,245.10,6,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),2层,203,师生活动用房,师生活动用房,数学学院,,266.27,146.60,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),2层,204,204-205,专用科研用房,数学学院,"胡飞,宗润弘",158.46,87.24,2,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),2层,205,204-205,专用科研用房,数学学院,,61.75,34.00,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),2层,206,会议、会客、接待室,会议、会客、接待室,数学学院,,61.75,34.00,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),2层,207,正教授工作室,正教授工作室,数学学院,"孔敏,张高飞",167.47,92.20,2,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),3层,301,科研办公室,专用科研用房,数学学院,"杨云,王鲁琦,张宏达,许珈豪,曾生达",165.65,91.20,5,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),3层,302,博房,普通实验室、实习场所,数学学院,,113.16,62.30,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),3层,303,博房,普通实验室、实习场所,数学学院,,165.65,91.20,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),3层,304,网络中心,其他教室及辅助用房,数学学院,,97.72,53.80,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),3层,305-306,博房,普通实验室、实习场所,数学学院,,204.15,112.40,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),3层,307,普通实验室、实习场所,普通实验室、实习场所,数学学院,,154.03,84.80,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),3层,308,普通实验室、实习场所,普通实验室、实习场所,数学学院,,216.14,119.00,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),3层,309-1,副教授工作室,副教授工作室,数学学院,"陈学长,郭朕臣",48.91,26.93,2,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),3层,309-2,实验中心,普通实验室、实习场所,数学学院,"江正华,叶长青",30.27,16.67,2,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),3层,310,科研办公室,专用科研用房,数学学院,"尤建功,聂梓伟",97.72,53.80,2,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),3层,311,副教授工作室,副教授工作室,数学学院,"李耀文,朱昊",103.90,57.20,2,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),3层,312,副教授工作室,副教授工作室,数学学院,,97.72,53.80,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),4层,401,401,专用科研用房,医学院附属鼓楼医院,,165.65,91.20,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),4层,402A,402A,专用科研用房,医学院附属鼓楼医院,,55.57,30.60,,口腔科,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),4层,402B,402B,普通教室,医学院附属鼓楼医院,,55.57,30.60,,口腔科,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),4层,403,403,专用科研用房,空置用房,,165.65,91.20,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),4层,404,404,普通教室,空置用房,,97.72,53.80,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),4层,405,405,普通教室,空置用房,,105.17,57.90,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),4层,406,406,其他教室及辅助用房,空置用房,,97.72,53.80,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),4层,407,407,专用科研用房,医学院,蒋青,165.65,91.20,1,南京大学医学院蒋青项目,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),4层,408,408,专用科研用房,医学院,蒋青,111.16,61.20,1,协议用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),4层,409,409,专用科研用房,医学院,蒋青,165.65,91.20,1,协议用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),4层,410,410,正教授工作室,医学院,蒋青,97.72,53.80,1,协议用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),4层,411,411,专用科研用房,医学院附属鼓楼医院,,103.90,57.20,,借用,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),4层,412,412,专用科研用房,医学院附属鼓楼医院,,97.72,53.80,,借用,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),5层,501,501,普通教室,环境材料与再生能源研究中心,,116.61,64.20,,邹志刚用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),5层,502,502,普通教室,环境材料与再生能源研究中心,,106.08,58.40,,邹志刚用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),5层,503,503,普通教室,环境材料与再生能源研究中心,,116.61,64.20,,邹志刚用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),5层,504,504,普通教室,环境材料与再生能源研究中心,,98.81,54.40,,邹志刚用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),5层,505,505,普通教室,环境材料与再生能源研究中心,,99.90,55.00,,邹志刚用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),5层,506,506,普通教室,环境材料与再生能源研究中心,,98.81,54.40,,邹志刚用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),5层,507,507,普通教室,环境材料与再生能源研究中心,,116.61,64.20,,邹志刚用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),5层,508,508,普通教室,环境材料与再生能源研究中心,,106.08,58.40,,邹志刚用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),5层,509,509,普通教室,环境材料与再生能源研究中心,,116.61,64.20,,邹志刚用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),5层,510,510,普通教室,环境材料与再生能源研究中心,,99.36,54.70,,邹志刚用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),5层,511,511,普通教室,环境材料与再生能源研究中心,,100.45,55.30,,邹志刚用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),5层,512,512,普通教室,环境材料与再生能源研究中心,,99.36,54.70,,邹志刚用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),6层,蒙-601,601,普通实验室、实习场所,软件学院,,69.14,38.07,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),6层,蒙-602,602,普通实验室、实习场所,软件学院,,161.07,88.68,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),6层,蒙-603,603,普通实验室、实习场所,软件学院,,69.14,38.07,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),6层,蒙-604,604,普通实验室、实习场所,软件学院,,304.58,167.69,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),6层,蒙-605,605,普通实验室、实习场所,软件学院,,69.14,38.07,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),6层,蒙-606,606,普通实验室、实习场所,软件学院,,161.07,88.68,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),6层,蒙-607,607,普通实验室、实习场所,软件学院,,69.14,38.07,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),6层,蒙-608,608,普通实验室、实习场所,软件学院,,299.80,165.06,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),7层,701-702,专用科研用房,专用科研用房,环境材料与再生能源研究中心,邹志刚,339.29,186.80,1,邹志刚用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),7层,703,专用科研用房,专用科研用房,环境材料与再生能源研究中心,邹志刚,201.07,110.70,1,邹志刚用房,,,,,,,,,
